verdict,slug,errM,test,subject,relation,direction,anchorKind,anchorName,negated,hedged,surfaces,quote,text
"not-checkable","gore-court-milton","","","","anchor-compass","north","escarpment","the escarpment lands","false","false","hero ld-place sec:about","north of the escarpment lands","Gore Court is a short residential court in Milton's Ford neighbourhood, a pocket of the town that sits west of the commercial spine and north of the escarpment lands."
"MISPLACED","gore-court-milton","-2211","T1 town","street","town-compass","west","town","Milton","false","false","sec:about","Gore Court belongs to the western residential fabric","For anyone mapping Milton, Gore Court belongs to the western residential fabric, close to the schools and parks that anchor daily life in this part of town."
"not-checkable","gore-court-milton","","","","proximity","none","other","the schools and parks","false","false","sec:about","close to the schools and parks that anchor daily life in this part of town","For anyone mapping Milton, Gore Court belongs to the western residential fabric, close to the schools and parks that anchor daily life in this part of town."
"MISPLACED","lower-base-line-milton","-2516","T1 town","street","town-compass","north","town","Milton","false","false","hero ld-place sec:about","through the northern edge of Milton","Lower Base Line runs as a quiet rural route through the northern edge of Milton, within the Rural Trafalgar area."
"negated-not-judged","lower-base-line-milton","","","","proximity","none","commercial-corridor","the main commercial corridors","true","false","sec:about","sits away from the main commercial corridors","The street sits away from the main commercial corridors, yet it remains connected to Milton's growing suburban neighbourhoods to the south."
"not-checkable","lower-base-line-milton","","","","anchor-compass","north","built-up-area","Milton's growing suburban neighbourhoods","false","false","sec:about","Milton's growing suburban neighbourhoods to the south","The street sits away from the main commercial corridors, yet it remains connected to Milton's growing suburban neighbourhoods to the south."
"not-checkable","lower-base-line-milton","","","","anchor-compass","north","commercial-corridor","Milton's main retail areas","false","false","sec:amenities","residents often head south into Milton's main retail areas","For everyday needs, residents often head south into Milton's main retail areas."
"WRONG","pozbou-crescent-milton","1448","T1 town","street","town-compass","north","town","Milton","false","false","sec:about","sits in the northern part of town","The street sits in the northern part of town, within easy reach of major roads and amenities, yet it feels removed from the busier through-routes."
"not-checkable","pozbou-crescent-milton","","","","proximity","none","road","major roads and amenities","false","false","sec:about","within easy reach of major roads and amenities","The street sits in the northern part of town, within easy reach of major roads and amenities, yet it feels removed from the busier through-routes."
"negated-not-judged","pozbou-crescent-milton","","","","proximity","none","road","the busier through-routes","true","true","sec:about","it feels removed from the busier through-routes","The street sits in the northern part of town, within easy reach of major roads and amenities, yet it feels removed from the busier through-routes."
"not-checkable","cathcart-crescent-milton","","","","other-position","none","downtown","the older core","false","false","hero ld-place sec:about","grew outward from the older core","Cathcart Crescent is a residential crescent in Milton's Willmott district, a pocket of the town that grew outward from the older core and now sits within easy reach of the town's main commercial and institutional anchors."
"MISPLACED","elsley-court-milton","591","T1 town","polygon:Beaty","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a pocket of the town's western grid","Elsley Court is a short residential court in Milton's Beaty district, a pocket of the town's western grid where the street pattern turns quiet and inward."
"not-refuted","elsley-court-milton","-3125","T1 town","polygon:Beaty","town-compass","south","town","Milton","false","false","sec:market","a subdivision in Milton's south-central grid","The housing stock is townhouse, and the street sits within Beaty, a subdivision in Milton's south-central grid where the surrounding streets carry far more transaction history than this one does."
"MISPLACED","alexander-crescent-milton","-1508","T1 town","polygon:Dempsey","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a pocket of west Milton","Alexander Crescent is a residential crescent in Milton's Dempsey neighbourhood, a pocket of west Milton that sits between the town's established grid and the newer edges pushing toward the escarpment."
"not-refuted","cedar-trail-milton","-13983","T1 downtown","street","anchor-compass","west","town","Brookville","false","false","sec:about","Brookville, a few minutes east","The nearest settlement of any size is Brookville, a few minutes east, and Campbellville sits to the southwest."
"MISPLACED","cedar-trail-milton","-930","T1 downtown","street","anchor-compass","northeast","town","Campbellville","false","false","sec:about","Campbellville sits to the southwest","The nearest settlement of any size is Brookville, a few minutes east, and Campbellville sits to the southwest."
"not-checkable","cedar-trail-milton","","","","orientation","none","other","the countryside","false","false","sec:market","the surrounding road network is oriented toward the countryside rather than the town centre","The street sits within Moffat, a rural-residential corner of Milton where lot sizes are generous and the surrounding road network is oriented toward the countryside rather than the town centre."
"not-checkable","cedar-trail-milton","","","","edge-of-town","none","town","Milton","false","false","sec:gettingAround","at the rural edge of Milton","Cedar Trail sits in Moffat, at the rural edge of Milton where the road network thins and the distances stretch."
"not-refuted","gervais-terrace-milton","-3648","T1 town","polygon:Coates","town-compass","east","town","Milton","false","false","hero ld-place sec:about","on Milton's eastern edge","Gervais Terrace is a short residential street in Coates, one of the newer residential quarters on Milton's eastern edge."
"not-checkable","schreyer-crescent-milton","","","","anchor-compass","west","commercial-corridor","the commercial spine","false","false","hero ld-place sec:about","sits west of the commercial spine","Schreyer Crescent is a residential crescent in Milton's Harrison area, a pocket of the town that sits west of the commercial spine and north of the older grid."
"WRONG","schreyer-crescent-milton","1954","T1 downtown","polygon:Harrison","anchor-compass","north","downtown","the older grid","false","false","hero ld-place sec:about","north of the older grid","Schreyer Crescent is a residential crescent in Milton's Harrison area, a pocket of the town that sits west of the commercial spine and north of the older grid."
"not-refuted","trafalgar-road-milton","-6705","T1 town","street","town-compass","north","town","Milton","false","false","hero ld-place sec:about","through the northern reaches of Milton","Trafalgar Road runs as a rural artery through the northern reaches of Milton, within the Rural Trafalgar neighbourhood."
"not-checkable","trafalgar-road-milton","","","","anchor-compass","north","built-up-area","the suburban grid of Milton","false","false","sec:about","To the south, the suburban grid of Milton begins to assert itself","To the south, the suburban grid of Milton begins to assert itself, while to the north, the land opens into rolling countryside."
"not-checkable","trafalgar-road-milton","","","","anchor-compass","south","other","rolling countryside","false","false","sec:about","to the north, the land opens into rolling countryside","To the south, the suburban grid of Milton begins to assert itself, while to the north, the land opens into rolling countryside."
"no-geometry","trafalgar-road-milton","","","","proximity","none","downtown","the town centre","false","false","sec:about","the denser residential streets closer to the town centre","It offers a distinct contrast to the denser residential streets closer to the town centre."
"no-geometry","brock-court-milton","","","","anchor-compass","south","road","the main east-west corridors","false","false","hero ld-place sec:about","sits south of the main east-west corridors","Brock Court is a short residential court in Milton's Dorset Park area, a pocket of the town that sits south of the main east-west corridors and west of the older village core."
"not-refuted","brock-court-milton","-457","T1 downtown","polygon:Dorset Park","anchor-compass","west","downtown","the older village core","false","false","hero ld-place sec:about","west of the older village core","Brock Court is a short residential court in Milton's Dorset Park area, a pocket of the town that sits south of the main east-west corridors and west of the older village core."
"not-checkable","edwards-avenue-milton","","","","anchor-compass","east","escarpment","the escarpment","false","false","hero ld-place sec:about","sits east of the escarpment","Edwards Avenue is a residential street in Milton's Beaty neighbourhood, a pocket of the town that sits east of the escarpment and north of the main commercial spine."
"not-checkable","edwards-avenue-milton","","","","anchor-compass","north","commercial-corridor","the main commercial spine","false","false","hero ld-place sec:about","north of the main commercial spine","Edwards Avenue is a residential street in Milton's Beaty neighbourhood, a pocket of the town that sits east of the escarpment and north of the main commercial spine."
"not-refuted","dalhousie-gate-milton","299","T1 town","polygon:Willmott","town-compass","north","town","Milton","false","false","hero ld-place sec:about","set within the broader grid of the town's north end","Dalhousie Gate is a quiet cul-de-sac in the Willmott neighbourhood of Milton, a residential pocket set within the broader grid of the town's north end."
"WRONG","victoria-street-milton","195","T3 road","street","anchor-compass","south","road","Main Street","false","false","sec:about","connects Main Street to the north","It is a quiet, tree-lined residential corridor that connects Main Street to the north with the escarpment edge to the south."
"not-checkable","victoria-street-milton","","","","anchor-compass","north","escarpment","the escarpment edge","false","false","sec:about","with the escarpment edge to the south","It is a quiet, tree-lined residential corridor that connects Main Street to the north with the escarpment edge to the south."
"not-refuted","victoria-street-milton","-1657","T4 proximity (downtown)","street","proximity","none","downtown","Milton's historic downtown core","false","false","sec:about","sits within walking distance of Milton's historic downtown core","The street sits within walking distance of Milton's historic downtown core, where century-old storefronts and civic buildings anchor the community."
"not-refuted","victoria-street-milton","-1657","T4 proximity (downtown)","street","proximity","none","downtown","downtown Milton","false","false","sec:amenities","the amenities of downtown Milton are easily reached on foot","While the street itself is quiet, the amenities of downtown Milton are easily reached on foot, offering cafes, restaurants, and services that shape the daily rhythm of the neighbourhood."
"not-checkable","deacon-drive-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Deacon Drive is a residential street in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
"no-geometry","deacon-drive-milton","","","","anchor-compass","north","road","the main east-west corridors","false","false","hero ld-place sec:about","north of the main east-west corridors","Deacon Drive is a residential street in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
"not-checkable","freeman-trail-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Freeman Trail is a residential street in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main commercial corridors."
"not-checkable","freeman-trail-milton","","","","anchor-compass","north","commercial-corridor","the main commercial corridors","false","false","hero ld-place sec:about","north of the main commercial corridors","Freeman Trail is a residential street in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main commercial corridors."
"not-checkable","dockray-drive-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place","sits west of the escarpment","Dockray Drive is a residential street in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the older core."
"MISPLACED","dockray-drive-milton","-1911","T1 downtown","polygon:Beaty","anchor-compass","north","downtown","the older core","false","false","hero ld-place","north of the older core","Dockray Drive is a residential street in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the older core."
"not-checkable","connaught-terrace-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Connaught Terrace is a short residential street in Milton's Ford neighbourhood, a pocket of the town that sits west of the escarpment and well within the built-up area."
"not-checkable","connaught-terrace-milton","","","","other-position","none","built-up-area","the built-up area","false","false","hero ld-place sec:about","well within the built-up area","Connaught Terrace is a short residential street in Milton's Ford neighbourhood, a pocket of the town that sits west of the escarpment and well within the built-up area."
"MISPLACED","connaught-terrace-milton","-1548","T1 town","street","town-compass","west","town","Milton","false","false","sec:about","comfortably inside Milton's established west side","The street's position places it comfortably inside Milton's established west side, with the town's amenities and the broader Halton region both within easy reach."
"not-checkable","connaught-terrace-milton","","","","proximity","none","other","the town's amenities and the broader Halton region","false","false","sec:about","with the town's amenities and the broader Halton region both within easy reach","The street's position places it comfortably inside Milton's established west side, with the town's amenities and the broader Halton region both within easy reach."
"not-checkable","connaught-terrace-milton","","","","orientation","west","none","","false","true","sec:gettingAround","rewards a week that points west or toward the airport more often than it points downtown","The street's geography rewards a week that points west or toward the airport more often than it points downtown."
"not-checkable","cobban-road-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Cobban Road is a short residential street in Milton's Dempsey neighbourhood, a pocket of the town that sits west of the escarpment and south of the older core."
"MISPLACED","cobban-road-milton","-304","T1 downtown","polygon:Dempsey","anchor-compass","south","downtown","the older core","false","false","hero ld-place sec:about","south of the older core","Cobban Road is a short residential street in Milton's Dempsey neighbourhood, a pocket of the town that sits west of the escarpment and south of the older core."
"not-refuted","gifford-crescent-milton","-454","T1 town","polygon:Coates","town-compass","north","town","Milton","false","false","hero ld-place sec:about","a residential pocket in the town's north end","Gifford Crescent is a quiet loop in Milton's Coates neighbourhood, a residential pocket in the town's north end."
"not-refuted","parkway-drive-milton","-1092","T4 proximity (downtown)","street","proximity","none","downtown","the historic core","false","false","sec:about","sits close to the historic core","The street sits close to the historic core, where mature trees line quiet residential blocks and the pace of life feels measured."
"WRONG","ferguson-drive-milton","1255","T1 town","street","town-compass","west","town","Milton","false","false","hero ld-place sec:about","sits in Milton's western reach","Ferguson Drive sits in Milton's western reach, where the Bowes and Beaty neighbourhoods meet."
"not-checkable","ferguson-drive-milton","","","","other-position","none","neighbourhood","Bowes and Beaty","false","false","hero ld-place sec:about","where the Bowes and Beaty neighbourhoods meet","Ferguson Drive sits in Milton's western reach, where the Bowes and Beaty neighbourhoods meet."
"not-checkable","laidlaw-drive-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Laidlaw Drive is a residential street in Milton's Clarke neighbourhood, a pocket of the town that sits west of the escarpment and north of the main east-west arteries."
"no-geometry","laidlaw-drive-milton","","","","anchor-compass","north","road","the main east-west arteries","false","false","hero ld-place sec:about","north of the main east-west arteries","Laidlaw Drive is a residential street in Milton's Clarke neighbourhood, a pocket of the town that sits west of the escarpment and north of the main east-west arteries."
"not-refuted","proud-drive-milton","-4832","T1 town","polygon:Cobban","town-compass","south","town","Milton","false","false","hero ld-place sec:about","one of Milton's newer growth areas on the town's southern edge","Proud Drive is a residential street in Cobban, one of Milton's newer growth areas on the town's southern edge."
"not-refuted","proud-drive-milton","-3610","T1 town","street","town-compass","south","town","Milton","false","false","sec:gettingAround","a street this far into Milton's southern edge","For a street this far into Milton's southern edge, the highway connection is the quiet advantage: the onramp is reached without crossing town, so the drive out holds up at peak times in a way that cross-town routes do not."
"not-checkable","cranberry-crescent-milton","","","","proximity","none","neighbourhood","Cobban","false","false","sec:about","within reach of the broader Cobban grid","It sits within reach of the broader Cobban grid, with the town's western residential expansion wrapping around it."
"MISPLACED","cranberry-crescent-milton","163","T1 town","street","town-compass","west","town","Milton","false","false","sec:about","with the town's western residential expansion wrapping around it","It sits within reach of the broader Cobban grid, with the town's western residential expansion wrapping around it."
"not-checkable","cranberry-crescent-milton","","","","proximity","none","road","the highway","false","false","sec:gettingAround","the highway, the station, and the western GTA all fall within a short reach","For a crescent of this size, the geography is quietly efficient: the highway, the station, and the western GTA all fall within a short reach."
"not-checkable","cranberry-crescent-milton","","","","proximity","none","rail","the station","false","false","sec:gettingAround","the highway, the station, and the western GTA all fall within a short reach","For a crescent of this size, the geography is quietly efficient: the highway, the station, and the western GTA all fall within a short reach."
"not-checkable","cranberry-crescent-milton","","","","proximity","none","other","the western GTA","false","false","sec:gettingAround","the highway, the station, and the western GTA all fall within a short reach","For a crescent of this size, the geography is quietly efficient: the highway, the station, and the western GTA all fall within a short reach."
"not-checkable","archer-way-milton","","","","anchor-compass","west","commercial-corridor","the commercial spine","false","false","hero ld-place sec:about","sits west of the commercial spine","Archer Way is a short residential way in Milton's Clarke area, a pocket of the town that sits west of the commercial spine and north of the older grid."
"MISPLACED","archer-way-milton","-2316","T1 downtown","polygon:Clarke","anchor-compass","north","downtown","the older grid","false","false","hero ld-place sec:about","north of the older grid","Archer Way is a short residential way in Milton's Clarke area, a pocket of the town that sits west of the commercial spine and north of the older grid."
"not-checkable","charlton-way-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Charlton Way is a short residential way in Milton's Dempsey neighbourhood, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
"no-geometry","charlton-way-milton","","","","anchor-compass","north","road","the main east-west corridors","false","false","hero ld-place sec:about","north of the main east-west corridors","Charlton Way is a short residential way in Milton's Dempsey neighbourhood, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
"MISPLACED","charlton-way-milton","-1177","T1 town","street","town-compass","west","town","Milton","false","false","sec:gettingAround","a street this far west in Milton","For a street this far west in Milton, the highway and the station are unusually close together, and that pairing shapes how the address reads on a map."
"not-checkable","andrews-trail-milton","","","","anchor-compass","east","escarpment","the escarpment","false","false","hero ld-place sec:about","sits east of the escarpment","Andrews Trail is a residential street in Milton's Clarke neighbourhood, a pocket of the town that sits east of the escarpment and north of the main commercial spine."
"not-checkable","andrews-trail-milton","","","","anchor-compass","north","commercial-corridor","the main commercial spine","false","false","hero ld-place sec:about","north of the main commercial spine","Andrews Trail is a residential street in Milton's Clarke neighbourhood, a pocket of the town that sits east of the escarpment and north of the main commercial spine."
"not-refuted","graham-bell-court-milton","78","T1 downtown","polygon:Dorset Park","anchor-compass","south","downtown","the downtown core","false","false","hero ld-place sec:about","sits south of the downtown core","Graham Bell Court is a short residential court in Milton's Dorset Park area, a pocket of the town that sits south of the downtown core and east of the main north-south corridors."
"no-geometry","graham-bell-court-milton","","","","anchor-compass","east","road","the main north-south corridors","false","false","hero ld-place sec:about","east of the main north-south corridors","Graham Bell Court is a short residential court in Milton's Dorset Park area, a pocket of the town that sits south of the downtown core and east of the main north-south corridors."
"not-checkable","baylis-court-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Baylis Court is a small residential court in Milton's Scott neighbourhood, a pocket of the town that sits west of the escarpment and north of the main commercial spine."
"not-checkable","baylis-court-milton","","","","anchor-compass","north","commercial-corridor","the main commercial spine","false","false","hero ld-place sec:about","north of the main commercial spine","Baylis Court is a small residential court in Milton's Scott neighbourhood, a pocket of the town that sits west of the escarpment and north of the main commercial spine."
"not-checkable","dow-landing-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Dow Landing is a short residential street in the Coates neighbourhood of Milton, a pocket of the town that sits west of the escarpment and north of the main commercial corridors."
"not-checkable","dow-landing-milton","","","","anchor-compass","north","commercial-corridor","the main commercial corridors","false","false","hero ld-place sec:about","north of the main commercial corridors","Dow Landing is a short residential street in the Coates neighbourhood of Milton, a pocket of the town that sits west of the escarpment and north of the main commercial corridors."
"not-refuted","connors-landing-milton","-2007","T1 town","polygon:Coates","town-compass","southwest","town","Milton","false","false","hero ld-place sec:about","a residential pocket in Milton's expanding southwest","Connors Landing sits in the Coates neighbourhood, a residential pocket in Milton's expanding southwest."
"no-geometry","starflower-place-milton","","","","proximity","none","downtown","Milton's core","false","false","sec:differentPriorities","look closer to Milton's core","If you're considering alternatives in similar pockets, buyers who want a shorter walk to the GO station might look closer to Milton's core, where streets offer better transit access but often trade off the quiet cul-de-sac feel."
"no-geometry","starflower-place-milton","","","","proximity","none","downtown","Milton's core","false","false","faq","streets closer to Milton's core","Buyers who want a shorter walk to the GO station might consider streets closer to Milton's core."
"not-refuted","mcclenahan-crescent-milton","-2368","T1 town","street","town-compass","east","town","Milton","false","false","sec:about","close to the town's eastern commercial and retail edge","The crescent's position puts it close to the town's eastern commercial and retail edge while keeping the immediate surroundings quiet and low-rise."
"not-refuted","sellers-path-milton","-3636","T1 town","polygon:Harrison","town-compass","west","town","Milton","false","false","hero ld-place","a pocket of the town's western grid","Sellers Path is a residential street in Milton's Harrison neighbourhood, a pocket of the town's western grid where the street pattern turns residential and the lots settle into a quieter register."
"not-refuted","sellers-path-milton","-2616","T1 town","street","town-compass","west","town","Milton","false","false","sec:gettingAround","a street this far west in town","For a street this far west in town, the highway and the station are the two anchors, and both are close enough that the choice between them is a real one rather than a compromise."
"not-checkable","sellers-path-milton","","","","proximity","none","road","the highway","false","false","sec:gettingAround","both are close enough","For a street this far west in town, the highway and the station are the two anchors, and both are close enough that the choice between them is a real one rather than a compromise."
"not-checkable","sellers-path-milton","","","","proximity","none","rail","the station","false","false","sec:gettingAround","both are close enough","For a street this far west in town, the highway and the station are the two anchors, and both are close enough that the choice between them is a real one rather than a compromise."
"not-refuted","guelph-junction-road-milton","-11342","T1 town","street","town-compass","west","town","Milton","false","false","hero ld-place sec:about","in the western reach of Milton","Guelph Junction Road is a rural road in the western reach of Milton, sitting within the Rural Milton West area where the town gives way to open country."
"not-checkable","guelph-junction-road-milton","","","","edge-of-town","none","built-up-area","the built-up subdivisions that define Milton's centre","false","false","sec:about","set well beyond the built-up subdivisions that define Milton's centre","It is a road of distance and quiet, set well beyond the built-up subdivisions that define Milton's centre."
"WRONG","blinco-terrace-milton","886","T1 town","street","town-compass","west","town","Milton","false","false","hero ld-place sec:about","near the western edge of the town","Blinco Terrace is a quiet, short residential street in Milton's Clarke neighbourhood, near the western edge of the town."
"not-refuted","mckim-gate-milton","-3636","T1 town","polygon:Harrison","town-compass","west","town","Milton","false","true","hero ld-place sec:about","has filled in steadily as Milton has grown westward and northward","McKim Gate is a short residential street in Milton's Harrison area, a pocket of the town that has filled in steadily as Milton has grown westward and northward."
"MISPLACED","mckim-gate-milton","492","T1 town","polygon:Harrison","town-compass","north","town","Milton","false","true","hero ld-place sec:about","has filled in steadily as Milton has grown westward and northward","McKim Gate is a short residential street in Milton's Harrison area, a pocket of the town that has filled in steadily as Milton has grown westward and northward."
"not-refuted","mckim-gate-milton","-3568","T1 town","street","town-compass","west","town","Milton","false","false","sec:gettingAround","The street's western Milton placement","The street's western Milton placement keeps the highway onramp within easy reach without crossing town."
"not-checkable","mckim-gate-milton","","","","proximity","none","road","the highway onramp","false","false","sec:gettingAround","keeps the highway onramp within easy reach","The street's western Milton placement keeps the highway onramp within easy reach without crossing town."
"not-checkable","celandine-terrace-milton","","","","proximity","none","escarpment","the escarpment country","false","false","sec:about","with the escarpment country and the older town centre both sitting a comfortable drive away","The street runs a modest course through the subdivision grid, with the escarpment country and the older town centre both sitting a comfortable drive away."
"not-checkable","celandine-terrace-milton","","","","proximity","none","downtown","the older town centre","false","false","sec:about","with the escarpment country and the older town centre both sitting a comfortable drive away","The street runs a modest course through the subdivision grid, with the escarpment country and the older town centre both sitting a comfortable drive away."
"not-refuted","jackman-gate-milton","-790","T1 town","polygon:Coates","town-compass","west","town","Milton","false","false","hero ld-place sec:about","the Coates neighbourhood of west Milton","Jackman Gate is a short residential street in the Coates neighbourhood of west Milton, a pocket of the town that grew outward from the older grid toward the escarpment side."
"not-checkable","jackman-gate-milton","","","","other-position","none","escarpment","the escarpment side","false","true","hero ld-place sec:about","grew outward from the older grid toward the escarpment side","Jackman Gate is a short residential street in the Coates neighbourhood of west Milton, a pocket of the town that grew outward from the older grid toward the escarpment side."
"not-refuted","riverplace-crescent-milton","-1397","T4 proximity (downtown)","polygon:Old Milton","proximity","none","downtown","the historic core of the town","false","false","hero ld-place sec:about","in Old Milton, the historic core of the town","Riverplace Crescent is a residential crescent in Old Milton, the historic core of the town, where the street grid gives way to quieter loops and curves."
"not-checkable","riverplace-crescent-milton","","","","proximity","none","other","the everyday infrastructure of the older town: schools, a hospital, and the commercial strip along the main corridors","false","false","sec:about","its position keeps it close to the everyday infrastructure of the older town","It sits within a pocket of Milton that predates the large suburban expansions to the south and west, and its position keeps it close to the everyday infrastructure of the older town: schools, a hospital, and the commercial strip along the main corridors."
"not-checkable","farrington-crossing-milton","","","","proximity","none","other","parks, schools and the town's core services","false","false","faq","surrounded by parks, schools and the town's core services","The street sits within the established Scott area of Milton, surrounded by parks, schools and the town's core services."
"not-refuted","fulton-street-milton","-1397","T4 proximity (downtown)","polygon:Old Milton","proximity","none","downtown","the historic core of the town","false","false","hero ld-place sec:about","in Old Milton, the historic core of the town","Fulton Street is a residential street in Old Milton, the historic core of the town, where the grid tightens and the lots run shallow."
"not-refuted","fulton-street-milton","-1748","T4 proximity (downtown)","street","proximity","none","downtown","the downtown commercial strip","false","false","sec:about","sits within walking distance of the downtown commercial strip","It sits within walking distance of the downtown commercial strip and the everyday services that cluster around it."
"not-refuted","fulton-street-milton","-1397","T4 proximity (downtown)","polygon:Old Milton","proximity","none","downtown","the historic core of the town","false","false","sec:market","It sits within Old Milton, the historic core of the town","It sits within Old Milton, the historic core of the town, where the housing stock is established rather than new and the street grid predates the subdivisions that ring it."
"not-checkable","fulton-street-milton","","","","other-position","none","built-up-area","the subdivisions that ring it","false","false","sec:market","the subdivisions that ring it","It sits within Old Milton, the historic core of the town, where the housing stock is established rather than new and the street grid predates the subdivisions that ring it."
"not-refuted","fulton-street-milton","-1397","T4 proximity (downtown)","polygon:Old Milton","proximity","none","downtown","the older core of the town","false","false","faq","Fulton Street sits within Old Milton, the older core of the town","Fulton Street sits within Old Milton, the older core of the town, where the surrounding fabric is long established rather than newly built."
"not-checkable","caldwell-crescent-milton","","","","anchor-compass","east","escarpment","the escarpment","false","false","hero ld-place sec:about","sits east of the escarpment","Caldwell Crescent is a quiet residential crescent in Milton's Beaty neighbourhood, a pocket of the town that sits east of the escarpment and west of the commercial spine along Main Street."
"not-checkable","caldwell-crescent-milton","","","","anchor-compass","west","commercial-corridor","the commercial spine along Main Street","false","false","hero ld-place sec:about","west of the commercial spine along Main Street","Caldwell Crescent is a quiet residential crescent in Milton's Beaty neighbourhood, a pocket of the town that sits east of the escarpment and west of the commercial spine along Main Street."
"not-checkable","zimmerman-crescent-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Zimmerman Crescent is a residential crescent in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main commercial corridors."
"not-checkable","zimmerman-crescent-milton","","","","anchor-compass","north","commercial-corridor","the main commercial corridors","false","false","hero ld-place sec:about","north of the main commercial corridors","Zimmerman Crescent is a residential crescent in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main commercial corridors."
"not-refuted","halton-avenue-milton","-1397","T4 proximity (downtown)","polygon:Old Milton","proximity","none","downtown","the historic core of Milton","false","false","hero ld-place sec:about","in Old Milton, the historic core of Milton","Halton Avenue is a residential street in Old Milton, the historic core of Milton where the town's grid still holds its original shape."
"not-checkable","halton-avenue-milton","","","","proximity","none","water/park","the Mill Pond","false","false","sec:about","sits within walking distance of the Mill Pond","The street sits within walking distance of the Mill Pond and the older commercial blocks along Main Street, a part of town where the street pattern predates the subdivisions that spread east and south in later decades."
"not-checkable","halton-avenue-milton","","","","proximity","none","commercial-corridor","the older commercial blocks along Main Street","false","false","sec:about","within walking distance of ... the older commercial blocks along Main Street","The street sits within walking distance of the Mill Pond and the older commercial blocks along Main Street, a part of town where the street pattern predates the subdivisions that spread east and south in later decades."
"not-checkable","halton-avenue-milton","","","","proximity","none","rail","the GO Station","false","false","sec:about","What it offers is proximity: to the GO Station","What it offers is proximity: to the GO Station, to the hospital, to the parks and schools that cluster around the old town centre."
"not-checkable","halton-avenue-milton","","","","proximity","none","other","the hospital","false","false","sec:about","to the hospital","What it offers is proximity: to the GO Station, to the hospital, to the parks and schools that cluster around the old town centre."
"not-refuted","halton-avenue-milton","-1139","T4 proximity (central)","street","proximity","none","downtown","the old town centre","false","false","sec:about","to the parks and schools that cluster around the old town centre","What it offers is proximity: to the GO Station, to the hospital, to the parks and schools that cluster around the old town centre."
"not-checkable","bundy-drive-milton","","","","anchor-compass","east","escarpment","the escarpment","false","false","hero ld-place sec:about","sits east of the escarpment","Bundy Drive is a short residential street in Milton's Clarke neighbourhood, a pocket of the town that sits east of the escarpment and north of the main commercial spine."
"not-checkable","bundy-drive-milton","","","","anchor-compass","north","commercial-corridor","the main commercial spine","false","false","hero ld-place sec:about","north of the main commercial spine","Bundy Drive is a short residential street in Milton's Clarke neighbourhood, a pocket of the town that sits east of the escarpment and north of the main commercial spine."
"not-refuted","bundy-drive-milton","-3684","T1 town","street","town-compass","east","town","Milton","false","false","sec:about","For a buyer looking at Milton's eastern half, Bundy Drive sits in a part of town","For a buyer looking at Milton's eastern half, Bundy Drive sits in a part of town where the grid is compact and the distances to schools, shops, and the GO line are measured in minutes rather than kilometres."
"not-checkable","bundy-drive-milton","","","","proximity","none","rail","the GO line","false","false","sec:about","the distances to schools, shops, and the GO line are measured in minutes rather than kilometres","For a buyer looking at Milton's eastern half, Bundy Drive sits in a part of town where the grid is compact and the distances to schools, shops, and the GO line are measured in minutes rather than kilometres."
"not-checkable","bundy-drive-milton","","","","proximity","none","other","schools, shops","false","false","sec:about","the distances to schools, shops, and the GO line are measured in minutes rather than kilometres","For a buyer looking at Milton's eastern half, Bundy Drive sits in a part of town where the grid is compact and the distances to schools, shops, and the GO line are measured in minutes rather than kilometres."
"not-refuted","hatton-crossing-milton","-3608","T1 town","polygon:Dempsey","town-compass","east","town","Milton","false","false","hero ld-place sec:about","one of Milton's established residential pockets on the town's eastern side","Hatton Crossing sits within Dempsey, one of Milton's established residential pockets on the town's eastern side."
